Player,Role,Nation,Team,Auction Price (in INR),Status_x,Status_y,Teams
Lockie Ferguson,Bowler,New Zealand,Royal Challengers Bangalore,2 Crore,Released,Released,KKR
Swapnil Singh,Allrounder,India,Royal Challengers Bangalore,20 Lakh,Released,Released,LG
Aiden Markram,Batsman,South Africa,Sunrisers Hyderabad,2.60 Crores,Retained,Retained,SRH
Rahul Tripathi,Batsman,India,Sunrisers Hyderabad,8.50 Crores,Retained,Retained,SRH
Glenn Phillips,WK-Batsman,New Zealand,Sunrisers Hyderabad,1.50 Crores,Retained,Retained,SRH
Umran Malik,Bowler,India,Sunrisers Hyderabad,4Cr,Retained,Retained,SRH
Fazal Haq Farooqi,Bowler,Afghanistan,Sunrisers Hyderabad,50 Lakhs,,,
T Natarajan,Bowler,India,Sunrisers Hyderabad,4 Crores,,,
Bhuvneshwar Kumar,Bowler,India,Sunrisers Hyderabad,4.20 Crores,Retained,Retained,SRH
Abdul Samad,All-rounder,India,Sunrisers Hyderabad,4Cr,Retained,Retained,SRH
Marco Jansen,All-rounder,South Africa,Sunrisers Hyderabad,4.20 Crores,Retained,Retained,SRH
Abhishek Sharma,All-rounder,India,Sunrisers Hyderabad,6.50 Crores,Retained,Retained,SRH
Washington Sundar,All-rounder,India,Sunrisers Hyderabad,8.75 Crores,Retained,Retained,SRH
Mayank Agarwal,Batsman,India,Sunrisers Hyderabad,8.25 crores,Retained,Retained,SRH
Heinrich Klaasen,WK-Batsman,South Africa,Sunrisers Hyderabad,5.25 crore,Retained,Retained,SRH
Mayank Markande,Bowler,India,Sunrisers Hyderabad,50 lakh,Retained,Retained,SRH
Sanvir Singh,All-rounder,India,Sunrisers Hyderabad,20 lakh,Retained,Retained,SRH
Upendra Yadav,WK-Batsman,India,Sunrisers Hyderabad,25 lakh,,,
Shahbaz Ahamad,Allrounder,India,Sunrisers Hyderabad,Traded from RCB,Transferd,Transferd,SRH
Nitish Kumar Reddy,WK-Batsman,India,Sunrisers Hyderabad,20 lakh,Retained,Retained,SRH
Anmolpreet Singh,Batman,India,Sunrisers Hyderabad,20 lakh,Retained,Retained,SRH
Travis Head,Batman,Australia,Sunrisers Hyderabad,6.80 Crores,,,
Wanindu Hasaranga,Allrounder,Sri Lanka,Sunrisers Hyderabad,1.50 Crores,Released,Released,RCB
Pat Cummins,All-rounder,Australia,Sunrisers Hyderabad,20.50 Crores,,,
Jaydev Unadkat,Bowler,India,Sunrisers Hyderabad,1.60 Crores,Released,Released,LSG
Akash Singh,Bowler,India,Sunrisers Hyderabad,20 Lakh,Released,Released,CSK
Jhathavedh Subramanyan,Bowler,India,Sunrisers Hyderabad,20 Lakh,,,
