Player_Name_batting,matches_played_batting,runs_scored,balls_faced,strike_rate_batting,average,Player_Name_batting_2,Batting_Hand,Country_batting,bowler,matches_played_bowling,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate_bowling,Player_Name_bowling,Bowling_Skill,Country_bowling
M Ntini,2.0,11.0,19.0,57.89473684210527,0.5789473684210527,M Ntini,Right_Hand,South Africa,M Ntini,9.0,257.0,35.5,8.0,7.23943661971831,26.625,M Ntini,Right-arm fast,South Africa
M Vijay,105.0,2619.0,2208.0,118.61413043478262,1.1861413043478262,M Vijay,Right_Hand,India,M Vijay,4.0,49.0,6.166666666666667,0.0,7.945945945945946,,M Vijay,Right-arm offbreak,India
M de Lange,1.0,1.0,2.0,50.0,0.5,M de Lange,Right_Hand,South Africa,M de Lange,5.0,171.0,19.33333333333333,6.0,8.844827586206897,19.33333333333333,M de Lange,Right-arm fast,South Africa
MA Khote,3.0,24.0,22.0,109.09090909090908,1.0909090909090908,MA Khote,Right_Hand,India,MA Khote,2.0,52.0,5.0,2.0,10.4,15.0,MA Khote,Right-arm medium,India
MA Starc,16.0,105.0,109.0,96.3302752293578,0.963302752293578,MA Starc,Left_Hand,Australia,MA Starc,39.0,1175.0,146.5,59.0,8.020477815699659,14.898305084745765,MA Starc,Left-arm fast,Australia
MC Henriques,54.0,1000.0,801.0,124.84394506866415,1.2484394506866416,MC Henriques,Right_Hand,Australia,MC Henriques,60.0,1302.0,163.16666666666666,46.0,7.979570990806946,21.282608695652176,MC Henriques,Right-arm fast-medium,Australia
MF Maharoof,14.0,177.0,124.0,142.74193548387098,1.4274193548387095,MF Maharoof,Right_Hand,India,MF Maharoof,20.0,532.0,73.5,33.0,7.238095238095238,13.363636363636363,MF Maharoof,Right-arm fast-medium,India
MG Johnson,28.0,167.0,168.0,99.40476190476193,0.9940476190476192,MG Johnson,Left_Hand,Australia,MG Johnson,54.0,1740.0,216.83333333333331,66.0,8.024596464258263,19.71212121212121,MG Johnson,Left-arm fast,Australia
MJ Clarke,6.0,98.0,96.0,102.08333333333331,1.0208333333333333,MJ Clarke,Right_Hand,Australia,MJ Clarke,5.0,72.0,11.0,3.0,6.545454545454546,22.0,MJ Clarke,Slow left-arm orthodox,Australia
MJ McClenaghan,20.0,85.0,73.0,116.43835616438356,1.1643835616438356,MJ McClenaghan,Left_Hand,New Zealand,MJ McClenaghan,56.0,1839.0,224.33333333333331,75.0,8.197622585438335,17.946666666666665,MJ McClenaghan,Left-arm fast-medium,New Zealand
