Player_Name_batting,matches_played_batting,runs_scored,balls_faced,strike_rate_batting,average,Player_Name_batting_2,Batting_Hand,Country_batting,bowler,matches_played_bowling,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate_bowling,Player_Name_bowling,Bowling_Skill,Country_bowling
T Kohli,3.0,11.0,20.0,55.00000000000001,0.55,T Kohli,Right_Hand,India,,,,,,,,,,
T Taibu,3.0,31.0,26.0,119.23076923076924,1.1923076923076923,T Taibu,Right_Hand,Zimbabwea,,,,,,,,,,
TD Paine,2.0,10.0,29.0,34.48275862068966,0.3448275862068966,TD Paine,Right_Hand,Australia,,,,,,,,,,
TM Srivastava,3.0,8.0,11.0,72.72727272727273,0.7272727272727273,TM Srivastava,Left_Hand,India,,,,,,,,,,
TR Birt,5.0,75.0,59.0,127.1186440677966,1.271186440677966,TR Birt,Left_Hand,Australia,,,,,,,,,,
U Kaul,1.0,0.0,1.0,0.0,0.0,U Kaul,Left_Hand,India,,,,,,,,,,
UA Birla,1.0,7.0,15.0,46.66666666666666,0.4666666666666667,UA Birla,Right_Hand,India,,,,,,,,,,
UBT Chand,20.0,300.0,314.0,95.54140127388536,0.9554140127388536,UBT Chand,Right_Hand,India,,,,,,,,,,
UT Khawaja,6.0,127.0,105.0,120.95238095238096,1.2095238095238094,UT Khawaja,Left_Hand,Australia,,,,,,,,,,
VH Zol,2.0,29.0,26.0,111.53846153846156,1.1153846153846154,VH Zol,Left_Hand,India,,,,,,,,,,
VVS Laxman,20.0,282.0,271.0,104.0590405904059,1.040590405904059,VVS Laxman,Right_Hand,India,,,,,,,,,,
Vishnu Vinod,6.0,56.0,58.0,96.55172413793105,0.9655172413793104,Vishnu Vinod,Right_hand,,,,,,,,,,,
W Jaffer,8.0,130.0,129.0,100.7751937984496,1.007751937984496,W Jaffer,Right_Hand,India,,,,,,,,,,
WP Saha,143.0,2934.0,2368.0,123.90202702702702,1.2390202702702702,WP Saha,Right_Hand,India,,,,,,,,,,
X Thalaivan Sargunam,1.0,10.0,17.0,58.82352941176471,0.5882352941176471,X Thalaivan Sargunam,Right_Hand,India,,,,,,,,,,
YV Takawale,10.0,192.0,183.0,104.91803278688523,1.0491803278688523,YV Takawale,Right_Hand,India,,,,,,,,,,
Yashpal Singh,4.0,47.0,67.0,70.1492537313433,0.7014925373134329,Yashpal Singh,Right_Hand,India,,,,,,,,,,
Younis Khan,1.0,3.0,7.0,42.85714285714285,0.4285714285714285,Younis Khan,Right_Hand,Pakistan,,,,,,,,,,
