Player,Role,Nation,Team,Auction Price (in INR),Status
Himanshu Sharma,Bowler,India,RCB,20 Lakhs,Retained
Manoj Bhandage,Allrounder,India,RCB,20 Lakhs,Retained
Rajan Kumar,Bowler,India,RCB,70 Lakhs,Retained
Rajat Patidar,Batsman,India,RCB,20 Lakhs,Retained
Will Jacks,Allrounder,England,RCB,3.2 crore,Retained
Mayank Dagar,Allrounder,India,RCB,Traded from SRH,Transferd
Reece Topley,Bowler,England,RCB,1.9 crore,Retained
Cameron Green,Allrounder,Australia,RCB,Traded from MI,Transferd
Alzarri Joseph,Bowler,West Indies,RCB,11.50 Crores,Released
Yash Dayal,Bowler,India,RCB,5 Crore,Released
Tom Curran,Allrounder,England,RCB,1.5 Crore,
Saurav Chauhan,Batsman,India,RCB,20 Lakh,
Lockie Ferguson,Bowler,New Zealand,RCB,2 Crore,Released
Swapnil Singh,Allrounder,India,RCB,20 Lakh,Released
Aiden Markram,Batsman,South Africa,SRH,2.60 Crores,Retained
Rahul Tripathi,Batsman,India,SRH,8.50 Crores,Retained
Glenn Phillips,WK-Batsman,New Zealand,SRH,1.50 Crores,Retained
Umran Malik,Bowler,India,SRH,4Cr,Retained
Fazal Haq Farooqi,Bowler,Afghanistan,SRH,50 Lakhs,
T Natarajan,Bowler,India,SRH,4 Crores,
Bhuvneshwar Kumar,Bowler,India,SRH,4.20 Crores,Retained
Abdul Samad,All-rounder,India,SRH,4Cr,Retained
Marco Jansen,All-rounder,South Africa,SRH,4.20 Crores,Retained
Abhishek Sharma,All-rounder,India,SRH,6.50 Crores,Retained
Washington Sundar,All-rounder,India,SRH,8.75 Crores,Retained
Mayank Agarwal,Batsman,India,SRH,8.25 crores,Retained
Heinrich Klaasen,WK-Batsman,South Africa,SRH,5.25 crore,Retained
Mayank Markande,Bowler,India,SRH,50 lakh,Retained
Sanvir Singh,All-rounder,India,SRH,20 lakh,Retained
Upendra Yadav,WK-Batsman,India,SRH,25 lakh,
Shahbaz Ahamad,Allrounder,India,SRH,Traded from RCB,Transferd
Nitish Kumar Reddy,WK-Batsman,India,SRH,20 lakh,Retained
Anmolpreet Singh,Batman,India,SRH,20 lakh,Retained
Travis Head,Batman,Australia,SRH,6.80 Crores,
Wanindu Hasaranga,Allrounder,Sri Lanka,SRH,1.50 Crores,Released
Pat Cummins,All-rounder,Australia,SRH,20.50 Crores,
Jaydev Unadkat,Bowler,India,SRH,1.60 Crores,Released
Akash Singh,Bowler,India,SRH,20 Lakh,Released
Jhathavedh Subramanyan,Bowler,India,SRH,20 Lakh,
