bowler,season,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
STR Binny,2010,1.0,6.0,9.0,0.0,0.0,9.0,0.0
STR Binny,2011,3.0,25.0,44.0,0.0,0.0,10.559999999999999,0.0
STR Binny,2012,6.0,60.0,78.0,3.0,26.0,7.8,20.0
STR Binny,2013,14.0,149.0,163.0,7.0,23.285714285714285,6.5637583892617455,21.285714285714285
STR Binny,2014,8.0,54.0,65.0,4.0,16.25,7.222222222222222,13.5
STR Binny,2015,10.0,119.0,143.0,8.0,17.875,7.2100840336134455,14.875
STR Binny,2016,11.0,104.0,134.0,1.0,134.0,7.730769230769232,104.0
STR Binny,2017,4.0,37.0,50.0,4.0,12.5,8.108108108108107,9.25
STR Binny,2018,1.0,14.0,33.0,0.0,0.0,14.142857142857142,0.0
STR Binny,2019,5.0,43.0,44.0,1.0,44.0,6.13953488372093,43.0
SW Tait,2010,8.0,205.0,274.0,12.0,22.833333333333332,8.019512195121951,17.083333333333332
SW Tait,2011,4.0,102.0,137.0,6.0,22.833333333333332,8.058823529411764,17.0
SW Tait,2012,6.0,157.0,154.0,7.0,22.0,5.885350318471337,22.428571428571427
SW Tait,2013,3.0,70.0,103.0,1.0,103.0,8.82857142857143,70.0
SZ Mulani,2024,2.0,33.0,57.0,0.0,0.0,10.363636363636363,0.0
Sachin Baby,2016,2.0,10.0,8.0,3.0,2.6666666666666665,4.8,3.3333333333333335
Sandeep Sharma,2013,4.0,98.0,130.0,8.0,16.25,7.959183673469388,12.25
Sandeep Sharma,2014,11.0,255.0,358.0,19.0,18.842105263157894,8.423529411764706,13.421052631578947
Sandeep Sharma,2015,14.0,311.0,359.0,13.0,27.615384615384617,6.92604501607717,23.923076923076923
Sandeep Sharma,2016,14.0,309.0,374.0,19.0,19.68421052631579,7.262135922330097,16.263157894736842
Sandeep Sharma,2017,13.0,300.0,402.0,17.0,23.647058823529413,8.04,17.647058823529413
Sandeep Sharma,2018,12.0,273.0,334.0,14.0,23.857142857142858,7.34065934065934,19.5
Sandeep Sharma,2019,11.0,265.0,355.0,13.0,27.307692307692307,8.037735849056604,20.384615384615383
Sandeep Sharma,2020,13.0,317.0,374.0,14.0,26.714285714285715,7.078864353312302,22.642857142857142
Sandeep Sharma,2021,7.0,145.0,204.0,3.0,68.0,8.441379310344827,48.333333333333336
Sandeep Sharma,2022,5.0,126.0,156.0,3.0,52.0,7.428571428571429,42.0
Sandeep Sharma,2023,12.0,290.0,398.0,15.0,26.533333333333335,8.23448275862069,19.333333333333332
Sandeep Sharma,2024,10.0,236.0,314.0,15.0,20.933333333333334,7.983050847457626,15.733333333333333
Shahbaz Ahmed,2020,2.0,37.0,45.0,2.0,22.5,7.297297297297297,18.5
Shahbaz Ahmed,2021,6.0,84.0,92.0,7.0,13.142857142857142,6.571428571428571,12.0
Shahbaz Ahmed,2022,14.0,220.0,341.0,4.0,85.25,9.3,55.0
Shahbaz Ahmed,2023,5.0,42.0,95.0,1.0,95.0,13.571428571428571,42.0
Shahbaz Ahmed,2024,15.0,166.0,277.0,7.0,39.57142857142857,10.012048192771084,23.714285714285715
Shahid Afridi,2008,10.0,185.0,237.0,9.0,26.333333333333332,7.686486486486487,20.555555555555557
Shakib Al Hasan,2011,7.0,158.0,177.0,11.0,16.09090909090909,6.7215189873417724,14.363636363636363
Shakib Al Hasan,2012,8.0,185.0,203.0,12.0,16.916666666666668,6.583783783783784,15.416666666666666
Shakib Al Hasan,2014,13.0,307.0,339.0,15.0,22.6,6.625407166123779,20.466666666666665
Shakib Al Hasan,2015,4.0,89.0,123.0,5.0,24.6,8.292134831460674,17.8
Shakib Al Hasan,2016,9.0,190.0,247.0,5.0,49.4,7.8,38.0
Shakib Al Hasan,2017,1.0,18.0,34.0,0.0,0.0,11.333333333333334,0.0
Shakib Al Hasan,2018,17.0,345.0,458.0,16.0,28.625,7.965217391304348,21.5625
Shakib Al Hasan,2019,3.0,66.0,95.0,2.0,47.5,8.636363636363637,33.0
Shakib Al Hasan,2021,8.0,157.0,188.0,5.0,37.6,7.184713375796178,31.4
Shashank Singh,2022,2.0,13.0,20.0,0.0,0.0,9.230769230769232,0.0
Shashank Singh,2024,1.0,6.0,5.0,1.0,5.0,5.0,6.0
Shivam Mavi,2018,9.0,179.0,273.0,7.0,39.0,9.150837988826815,25.571428571428573
Shivam Mavi,2020,8.0,162.0,214.0,9.0,23.77777777777778,7.925925925925926,18.0
Shivam Mavi,2021,9.0,204.0,242.0,12.0,20.166666666666668,7.117647058823529,17.0
Shivam Mavi,2022,6.0,142.0,229.0,5.0,45.8,9.676056338028168,28.4
Shivam Sharma,2014,4.0,96.0,121.0,3.0,40.333333333333336,7.5625,32.0
Shivam Sharma,2015,1.0,18.0,44.0,1.0,44.0,14.666666666666666,18.0
Shoaib Ahmed,2009,7.0,103.0,154.0,5.0,30.8,8.970873786407767,20.6
Shoaib Akhtar,2008,3.0,46.0,54.0,5.0,10.8,7.0434782608695645,9.2
Shoaib Malik,2008,5.0,58.0,87.0,2.0,43.5,9.0,29.0
Sikandar Raza,2023,6.0,76.0,124.0,3.0,41.333333333333336,9.789473684210527,25.333333333333332
Sikandar Raza,2024,1.0,12.0,22.0,0.0,0.0,11.0,0.0
Simarjeet Singh,2022,6.0,113.0,143.0,4.0,35.75,7.592920353982302,28.25
Simarjeet Singh,2024,4.0,80.0,122.0,6.0,20.333333333333332,9.15,13.333333333333334
Sohail Tanvir,2008,11.0,265.0,275.0,24.0,11.458333333333334,6.226415094339623,11.041666666666666
Sumit Kumar,2024,2.0,22.0,38.0,0.0,0.0,10.363636363636363,0.0
Sunny Gupta,2012,1.0,19.0,47.0,0.0,0.0,14.842105263157896,0.0
Suyash Sharma,2023,11.0,239.0,330.0,11.0,30.0,8.284518828451882,21.727272727272727
Suyash Sharma,2024,2.0,25.0,51.0,0.0,0.0,12.239999999999998,0.0
Swapnil Singh,2016,1.0,18.0,29.0,0.0,0.0,9.666666666666666,0.0
Swapnil Singh,2017,4.0,43.0,61.0,1.0,61.0,8.511627906976743,43.0
Swapnil Singh,2023,2.0,12.0,18.0,0.0,0.0,9.0,0.0
Swapnil Singh,2024,7.0,92.0,133.0,6.0,22.166666666666668,8.67391304347826,15.333333333333334
T Henderson,2009,2.0,36.0,41.0,1.0,41.0,6.833333333333333,36.0
T Natarajan,2017,6.0,82.0,116.0,2.0,58.0,8.487804878048781,41.0
T Natarajan,2020,16.0,389.0,520.0,19.0,27.36842105263158,8.02056555269923,20.473684210526315
T Natarajan,2021,2.0,50.0,70.0,2.0,35.0,8.399999999999999,25.0
T Natarajan,2022,11.0,272.0,410.0,20.0,20.5,9.044117647058822,13.6
T Natarajan,2023,12.0,276.0,416.0,13.0,32.0,9.043478260869565,21.23076923076923
T Natarajan,2024,14.0,332.0,469.0,20.0,23.45,8.475903614457831,16.6
T Shamsi,2016,4.0,96.0,151.0,3.0,50.333333333333336,9.4375,32.0
T Shamsi,2021,1.0,24.0,34.0,0.0,0.0,8.5,0.0
T Stubbs,2023,1.0,12.0,14.0,1.0,14.0,7.0,12.0
T Stubbs,2024,2.0,13.0,15.0,3.0,5.0,6.923076923076923,4.333333333333333
T Thushara,2009,2.0,50.0,61.0,3.0,20.333333333333332,7.319999999999999,16.666666666666668
T Thushara,2010,4.0,94.0,103.0,7.0,14.714285714285714,6.574468085106383,13.428571428571429
TA Boult,2015,7.0,181.0,239.0,10.0,23.9,7.922651933701657,18.1
TA Boult,2016,1.0,26.0,39.0,1.0,39.0,9.0,26.0
