Player,Role,Auction Price,Nation,Team,Auction Price (in INR)
Suryakumar Yadav,Batsman,INR 8 Cr(R),India,Mumbai Indians,80000000.0
Tilak Varma,Batsman,INR 1.70 Cr(R),India,Mumbai Indians,17000000.0
Dewald Brevis,Batsman,INR 3 crores(R),India,Mumbai Indians,30000000.0
Ishan Kishan,WK-Batsman,INR 15.25 crores(R),India,Mumbai Indians,152500000.0
Kumar Kartikeya Singh,Bowler,INR 20 Lakhs(R),India,Mumbai Indians,2000000.0
Jasprit Bumrah,Bowler,INR 12 Crores(R),India,Mumbai Indians,120000000.0
Arjun Tendulkar,All-rounder,INR 30 Lakhs(R),India,Mumbai Indians,3000000.0
Tim David,All-rounder,INR 8.25 Crores(R),Singapore,Mumbai Indians,82500000.0
Akash Madhwal,Bowler,INR 20 lakhs(R),India,Mumbai Indians,
Jason Behrendorff,Bowler,Traded from RCB,Australia,Mumbai Indians,
Piyush Chawla,Bowler,INR 50 Lakhs(R),India,Mumbai Indians,5000000.0
Shams Mulani,All-rounder,INR 20 Lakhs(R),India,Mumbai Indians,2000000.0
Nehal Wadhera,All-rounder,INR 20 Lakhs(R),India,Mumbai Indians,2000000.0
Vishnu Vinod,WK-Batsman,INR 20 Lakhs(R),India,Mumbai Indians,2000000.0
Romario Shepherd,All-rounder,Traded from LSG,West Indies,Mumbai Indians,
Hardik Pandya,All-rounder,Traded from GT,India,Mumbai Indians,
Gerald Coetzee,All-rounder,INR 5 Crores,South Africa,Mumbai Indians,50000000.0
Dilshan Madushanka,Bowler,INR 4.60 Crores,Sri Lanka,Mumbai Indians,46000000.0
Shreyas Gopal,Bowler,INR 20 Lakhs,India,Mumbai Indians,2000000.0
Nuwan Thushara,Bowler,INR 4.80 Crore,Sri Lanka,Mumbai Indians,48000000.0
Naman Dhir,All-rounder,INR 20 Lakhs,India,Mumbai Indians,2000000.0
Anshul Kamboj,All-rounder,INR 20 Lakhs,India,Mumbai Indians,2000000.0
Mohammad Nabi,All-rounder,INR 1.5 Crore,Afghanistan,Mumbai Indians,15000000.0
Shivalik Sharma,All-rounder,INR 20 Lakhs,India,Mumbai Indians,2000000.0
Shikhar Dhawan,Batsman,INR 8.25 Crores(R),India,Punjab Kings,82500000.0
Prabhsimran Singh,WK-Batsman,INR 60 Lakhs(R),India,Punjab Kings,6000000.0
Jitesh Sharma,WK-Batsman,INR 20 Lakhs(R),India,Punjab Kings,2000000.0
Jonny Bairstow,WK-Batsman,INR 6.75 Crores(R),England,Punjab Kings,67500000.0
Arshdeep Singh,Bowler,INR 4 Cr(R),India,Punjab Kings,40000000.0
Nathan Ellis,Bowler,INR 75 Lakhs(R),Australia,Punjab Kings,7500000.0
Harpreet Brar,Bowler,INR 3.80 Crores(R),India,Punjab Kings,38000000.0
Rahul Chahar,Bowler,INR 5.25 Crores(R),India,Punjab Kings,52500000.0
Kagiso Rabada,Bowler,INR 9.25 Crores(R),South Africa,Punjab Kings,92500000.0
Liam Livingstone,All-rounder,INR 11.50 Crores(R),England,Punjab Kings,115000000.0
Rishi Dhawan,All-rounder,INR 55 Lakhs(R),India,Punjab Kings,5500000.0
Atharva Taide,All-rounder,INR 20 Lakhs(R),India,Punjab Kings,2000000.0
Sam Curran,All-rounder,INR 18.50 crores(R),England,Punjab Kings,185000000.0
Sikandar Raza,All-rounder,INR 50 lakh(R),Zimbabwe,Punjab Kings,
Harpreet Bhatia,Batsman,INR 40 lakh(R),India,Punjab Kings,
Vidwath Kaverappa,Bowler,INR 20 lakh(R),India,Punjab Kings,
Shivam Singh,All-rounder,INR 20 lakh(R),India,Punjab Kings,
Harshal Patel,All-rounder,INR 11.75 Crore,India,Punjab Kings,117500000.0
Chris Woakes,All-rounder,INR 4.20 Crore,England,Punjab Kings,42000000.0
Ashutosh Sharma,All-rounder,INR 20 Lakh,India,Punjab Kings,2000000.0
Vishwanath Pratap Singh,All-rounder,INR 20 Lakh,India,Punjab Kings,2000000.0
Tanay Thayagarajann,All-rounder,INR 20 Lakh,India,Punjab Kings,2000000.0
Shashank Singh,Batsman,INR 20 Lakh,India,Punjab Kings,2000000.0
Prince Choudhary,Bowler,INR 20 Lakh,India,Punjab Kings,2000000.0
Rilee Rossouw,Batsman,INR 8 Crore,South Africa,Punjab Kings,80000000.0
Yashasvi Jaiswal,Batsman,INR 4 Crores(R),India,Rajasthan Royals,40000000.0
Shimron Hetmyer,Batsman,INR 8.50 Crores(R),West Indies,Rajasthan Royals,85000000.0
Sanju Samson,WK-Batsman,INR 14 Cr(R),India,Rajasthan Royals,140000000.0
Jos Buttler,WK-Batsman,INR 10 Cr(R),England,Rajasthan Royals,100000000.0
Dhruv Jurel,WK-Batsman,INR 20 Lakhs(R),India,Rajasthan Royals,2000000.0
Navdeep Saini,Bowler,INR 2.60 Crores(R),India,Rajasthan Royals,26000000.0
Kuldeep Sen,Bowler,INR 20 Lakhs(R),India,Rajasthan Royals,2000000.0
Yuzvendra Chahal,Bowler,INR 6.50 Crores(R),India,Rajasthan Royals,65000000.0
Trent Boult,Bowler,INR 8 Crores(R),New Zealand,Rajasthan Royals,80000000.0
Riyan Parag,All-rounder,INR 3.80 Crores(R),India,Rajasthan Royals,38000000.0
Ravichandran Ashwin,All-rounder,INR 5 Crores(R),India,Rajasthan Royals,50000000.0
Donovan Ferreira,WK-Batsman,INR 50 lakh(R),South Africa,Rajasthan Royals,
Kunal Rathore,WK-Batsman,INR 20 lakh(R),India,Rajasthan Royals,
Adam Zampa,Bowler,INR 1.5 crore(R),Australia,Rajasthan Royals,
Sandeep Sharma,Bowler,INR 50 lakh(R),India,Rajasthan Royals,
Avesh Khan,Bowler,Traded from LSG,India,Rajasthan Royals,
Prashid Krishna,Bowler,INR 10 Crores(R),India,Rajasthan Royals,100000000.0
Rovman Powell,Batsman,INR 7.40 Crores,West Indies,Rajasthan Royals,74000000.0
Shubham Dubey,Batsman,INR 5.80 Cr,India,Rajasthan Royals,58000000.0
Tom Kohler-Cadmore,WK-Batsman,INR 40 Lakh,England,Rajasthan Royals,4000000.0
Abid Mushtaq,All-rounder,INR 50 Lakh,India,Rajasthan Royals,5000000.0
