Player,Status,Type,Country,Teams,Base Price,Sold Price
Ashwin Das,UnSold,All-Rounder,Ind,,"2,000,000",
Aarya Desai,UnSold,All-Rounder,Ind,,"2,000,000",
Vineet Dhankhar,UnSold,All-Rounder,Ind,,"2,000,000",
Harsh Dubey,UnSold,All-Rounder,Ind,,"2,000,000",
Prerit Dutta,UnSold,All-Rounder,Ind,,"2,000,000",
Jake Fraser-Mcgurk,UnSold,All-Rounder,Aus,,"2,000,000",
Shubhang Hegde,UnSold,All-Rounder,Ind,,"2,000,000",
Saransh Jain,UnSold,All-Rounder,Ind,,"2,000,000",
Duan Jansen,UnSold,All-Rounder,SA,,"2,000,000",
Mohammad Kaif,UnSold,All-Rounder,Ind,,"2,000,000",
Aman Khan,UnSold,All-Rounder,Ind,,"2,000,000",
Mohd Arslan Khan,UnSold,All-Rounder,Ind,,"2,000,000",
Musheer Khan,UnSold,All-Rounder,Ind,,"2,000,000",
Tanush Kotian,UnSold,All-Rounder,Ind,,"2,000,000",
Manvanth Kumar,UnSold,All-Rounder,Ind,,"2,000,000",
Saurabh Kumar,UnSold,All-Rounder,Ind,,"2,000,000",
Dev Lakra,UnSold,All-Rounder,Ind,,"2,000,000",
Nasir Lone,UnSold,All-Rounder,Ind,,"2,000,000",
Kaushik Maity,UnSold,All-Rounder,Ind,,"2,000,000",
Divij Mehra,UnSold,All-Rounder,Ind,,"2,000,000",
Mani Sankar Mura Singh,UnSold,All-Rounder,Ind,,"2,000,000",
Sanjay Pahal,UnSold,All-Rounder,Ind,,"2,000,000",
Jitender Pal,UnSold,All-Rounder,Ind,,"2,000,000",
Saumy Pandey,UnSold,All-Rounder,Ind,,"2,000,000",
Ansh Patel,UnSold,All-Rounder,Ind,,"2,000,000",
Sairaj Patil,UnSold,All-Rounder,Ind,,"2,000,000",
Pradosh Paul,UnSold,All-Rounder,Ind,,"2,000,000",
Shubham Singh Pundir,UnSold,All-Rounder,Ind,,"2,000,000",
Atal Rai,UnSold,All-Rounder,Ind,,"2,000,000",
Abhimanyusingh Rajput,UnSold,All-Rounder,Ind,,"2,000,000",
Mohit Rathee,UnSold,All-Rounder,Ind,,"2,000,000",
Ninad Rathva,UnSold,All-Rounder,Ind,,"2,000,000",
