Player,Role,Nation,Team,Auction Price (in INR)
Faf du Plessis,Batsman,South Africa,Royal Challengers Bangalore,7 crores
Vyshak Vijay Kumar,Bowler,India,Royal Challengers Bangalore,20 Lakh
Anuj Rawat,WK-Batsman,India,Royal Challengers Bangalore,3.40 crores
Dinesh Karthik,WK-Batsman,India,Royal Challengers Bangalore,5.50 crores
Mohammed Siraj,Bowler,India,Royal Challengers Bangalore,7 CR
Karn Sharma,Bowler,India,Royal Challengers Bangalore,50 Lakhs
Akash Deep,Bowler,India,Royal Challengers Bangalore,20 Lakhs
Glenn Maxwell,All-rounder,Australia,Royal Challengers Bangalore,11 CR
Mahipal Lomror,All-rounder,India,Royal Challengers Bangalore,95 Lakhs
Himanshu Sharma,Bowler,India,Royal Challengers Bangalore,20 Lakhs
Manoj Bhandage,Allrounder,India,Royal Challengers Bangalore,20 Lakhs
Rajan Kumar,Bowler,India,Royal Challengers Bangalore,70 Lakhs
Rajat Patidar,Batsman,India,Royal Challengers Bangalore,20 Lakhs
Will Jacks,Allrounder,England,Royal Challengers Bangalore,3.2 crore
Mayank Dagar,Allrounder,India,Royal Challengers Bangalore,Traded from SRH
Reece Topley,Bowler,England,Royal Challengers Bangalore,1.9 crore
Cameron Green,Allrounder,Australia,Royal Challengers Bangalore,Traded from MI
Alzarri Joseph,Bowler,West Indies,Royal Challengers Bangalore,11.50 Crores
Yash Dayal,Bowler,India,Royal Challengers Bangalore,5 Crore
Tom Curran,Allrounder,England,Royal Challengers Bangalore,1.5 Crore
Saurav Chauhan,Batsman,India,Royal Challengers Bangalore,20 Lakh
Lockie Ferguson,Bowler,New Zealand,Royal Challengers Bangalore,2 Crore
Swapnil Singh,Allrounder,India,Royal Challengers Bangalore,20 Lakh
Aiden Markram,Batsman,South Africa,Sunrisers Hyderabad,2.60 Crores
Rahul Tripathi,Batsman,India,Sunrisers Hyderabad,8.50 Crores
Glenn Phillips,WK-Batsman,New Zealand,Sunrisers Hyderabad,1.50 Crores
Umran Malik,Bowler,India,Sunrisers Hyderabad,4Cr
Fazal Haq Farooqi,Bowler,Afghanistan,Sunrisers Hyderabad,50 Lakhs
T Natarajan,Bowler,India,Sunrisers Hyderabad,4 Crores
Bhuvneshwar Kumar,Bowler,India,Sunrisers Hyderabad,4.20 Crores
Abdul Samad,All-rounder,India,Sunrisers Hyderabad,4Cr
Marco Jansen,All-rounder,South Africa,Sunrisers Hyderabad,4.20 Crores
Abhishek Sharma,All-rounder,India,Sunrisers Hyderabad,6.50 Crores
Washington Sundar,All-rounder,India,Sunrisers Hyderabad,8.75 Crores
Mayank Agarwal,Batsman,India,Sunrisers Hyderabad,8.25 crores
Heinrich Klaasen,WK-Batsman,South Africa,Sunrisers Hyderabad,5.25 crore
Mayank Markande,Bowler,India,Sunrisers Hyderabad,50 lakh
Sanvir Singh,All-rounder,India,Sunrisers Hyderabad,20 lakh
Upendra Yadav,WK-Batsman,India,Sunrisers Hyderabad,25 lakh
Shahbaz Ahamad,Allrounder,India,Sunrisers Hyderabad,Traded from RCB
Nitish Kumar Reddy,WK-Batsman,India,Sunrisers Hyderabad,20 lakh
Anmolpreet Singh,Batman,India,Sunrisers Hyderabad,20 lakh
Travis Head,Batman,Australia,Sunrisers Hyderabad,6.80 Crores
Wanindu Hasaranga,Allrounder,Sri Lanka,Sunrisers Hyderabad,1.50 Crores
Pat Cummins,All-rounder,Australia,Sunrisers Hyderabad,20.50 Crores
Jaydev Unadkat,Bowler,India,Sunrisers Hyderabad,1.60 Crores
Akash Singh,Bowler,India,Sunrisers Hyderabad,20 Lakh
Jhathavedh Subramanyan,Bowler,India,Sunrisers Hyderabad,20 Lakh
