Player,Role,Auction Price,Nation,Team
Yuzvendra Chahal,Bowler,INR 6.50 Crores(R),India,Rajasthan Royals
Trent Boult,Bowler,INR 8 Crores(R),New Zealand,Rajasthan Royals
Riyan Parag,All-rounder,INR 3.80 Crores(R),India,Rajasthan Royals
Ravichandran Ashwin,All-rounder,INR 5 Crores(R),India,Rajasthan Royals
Donovan Ferreira,WK-Batsman,INR 50 lakh(R),South Africa,Rajasthan Royals
Kunal Rathore,WK-Batsman,INR 20 lakh(R),India,Rajasthan Royals
Adam Zampa,Bowler,INR 1.5 crore(R),Australia,Rajasthan Royals
Sandeep Sharma,Bowler,INR 50 lakh(R),India,Rajasthan Royals
Avesh Khan,Bowler,Traded from LSG,India,Rajasthan Royals
Prashid Krishna,Bowler,INR 10 Crores(R),India,Rajasthan Royals
Rovman Powell,Batsman,INR 7.40 Crores,West Indies,Rajasthan Royals
Shubham Dubey,Batsman,INR 5.80 Cr,India,Rajasthan Royals
Tom Kohler-Cadmore,WK-Batsman,INR 40 Lakh,England,Rajasthan Royals
Abid Mushtaq,All-rounder,INR 50 Lakh,India,Rajasthan Royals
Nandre Burger,Bowler,INR 50 Lakh,South Africa,Rajasthan Royals
Virat Kohli,Batsman,INR 15 CR(R),India,Royal Challengers Bangalore
Suyash Prabhudessai,Batsman,INR 30 Lakhs(R),India,Royal Challengers Bangalore
Faf du Plessis(C),Batsman,INR 7 crores(R),South Africa,Royal Challengers Bangalore
Vyshak Vijay Kumar,Bowler,INR 20 Lakh(R),India,Royal Challengers Bangalore
Anuj Rawat (wk),WK-Batsman,INR 3.40 crores(R),India,Royal Challengers Bangalore
Dinesh Karthik (wk),WK-Batsman,INR 5.50 crores(R),India,Royal Challengers Bangalore
Mohammed Siraj,Bowler,INR 7 CR(R),India,Royal Challengers Bangalore
Karn Sharma,Bowler,INR 50 Lakhs(R),India,Royal Challengers Bangalore
Akash Deep,Bowler,INR 20 Lakhs(R),India,Royal Challengers Bangalore
Glenn Maxwell,All-rounder,INR 11 CR(R),Australia,Royal Challengers Bangalore
Mahipal Lomror,All-rounder,INR 95 Lakhs(R),India,Royal Challengers Bangalore
Himanshu Sharma,Bowler,INR 20 Lakhs(R),India,Royal Challengers Bangalore
Manoj Bhandage,Allrounder,INR 20 Lakhs(R),India,Royal Challengers Bangalore
Rajan Kumar,Bowler,INR 70 Lakhs(R),India,Royal Challengers Bangalore
Rajat Patidar,Batsman,INR 20 Lakhs(R),India,Royal Challengers Bangalore
Will Jacks,Allrounder,INR 3.2 crore(R),England,Royal Challengers Bangalore
Mayank Dagar,Allrounder,Traded from SRH,India,Royal Challengers Bangalore
Reece Topley,Bowler,INR 1.9 crore(R),England,Royal Challengers Bangalore
Cameron Green,Allrounder,Traded from MI,Australia,Royal Challengers Bangalore
Alzarri Joseph,Bowler,INR 11.50 Crores,West Indies,Royal Challengers Bangalore
Yash Dayal,Bowler,INR 5 Crore,India,Royal Challengers Bangalore
Tom Curran,Allrounder,INR 1.5 Crore,England,Royal Challengers Bangalore
Saurav Chauhan,Batsman,INR 20 Lakh,India,Royal Challengers Bangalore
Lockie Ferguson,Bowler,INR 2 Crore,New Zealand,Royal Challengers Bangalore
Swapnil Singh,Allrounder,INR 20 Lakh,India,Royal Challengers Bangalore
Aiden Markram(C),Batsman,INR 2.60 Crores(R),South Africa,Sunrisers Hyderabad
Rahul Tripathi,Batsman,INR 8.50 Crores(R),India,Sunrisers Hyderabad
Glenn Phillips (wk),WK-Batsman,INR 1.50 Crores(R),New Zealand,Sunrisers Hyderabad
Umran Malik,Bowler,INR 4Cr(R),India,Sunrisers Hyderabad
Fazal Haq Farooqi,Bowler,INR 50 Lakhs(R),Afghanistan,Sunrisers Hyderabad
T Natarajan,Bowler,INR 4 Crores(R),India,Sunrisers Hyderabad
Bhuvneshwar Kumar,Bowler,INR 4.20 Crores(R),India,Sunrisers Hyderabad
Abdul Samad,All-rounder,INR 4Cr(R),India,Sunrisers Hyderabad
Marco Jansen,All-rounder,INR 4.20 Crores(R),South Africa,Sunrisers Hyderabad
Abhishek Sharma,All-rounder,INR 6.50 Crores(R),India,Sunrisers Hyderabad
Washington Sundar,All-rounder,INR 8.75 Crores(R),India,Sunrisers Hyderabad
Mayank Agarwal,Batsman,INR 8.25 crores(R),India,Sunrisers Hyderabad
Heinrich Klaasen,WK-Batsman,INR 5.25 crore(R),South Africa,Sunrisers Hyderabad
Mayank Markande,Bowler,INR 50 lakh(R),India,Sunrisers Hyderabad
Sanvir Singh,All-rounder,INR 20 lakh(R),India,Sunrisers Hyderabad
Upendra Yadav,WK-Batsman,INR 25 lakh(R),India,Sunrisers Hyderabad
Shahbaz Ahamad,Allrounder,Traded from RCB,India,Sunrisers Hyderabad
Nitish Kumar Reddy,WK-Batsman,INR 20 lakh(R),India,Sunrisers Hyderabad
Anmolpreet Singh,Batman,INR 20 lakh(R),India,Sunrisers Hyderabad
Travis Head,Batman,INR 6.80 Crores,Australia,Sunrisers Hyderabad
Wanindu Hasaranga,Allrounder,INR 1.50 Crores,Sri Lanka,Sunrisers Hyderabad
Pat Cummins,All-rounder,INR 20.50 Crores,Australia,Sunrisers Hyderabad
Jaydev Unadkat,Bowler,INR 1.60 Crores,India,Sunrisers Hyderabad
Akash Singh,Bowler,INR 20 Lakh,India,Sunrisers Hyderabad
Jhathavedh Subramanyan,Bowler,INR 20 Lakh,India,Sunrisers Hyderabad
